run_id	timestamp	composite_score	banned_words	em_dashes	contraction_ratio	not_x_is_y	au_spelling	mean_sent_len	sent_len_var	opener_variety	parallel_clusters	human_score	task_accuracy	quality	change_description	decision
baseline	2026-03-27T03:26:20	0.9508	0.9717	0.8200	0.7524	1.0000	1.0000	1.0000	0.8168	0.7001	0.9670	1.0000	1.0000	1.0000	Initial baseline	BASELINE
exp_001	2026-03-27T03:33:21	0.9440	1.0000	0.7800	0.7745	0.9500	1.0000	1.0000	0.7906	0.6414	0.9010	1.0000	1.0000	1.0000	Add explicit first-word variety rule to improve opener_variety	DISCARD
exp_002	2026-03-27T03:39:13	0.9600	0.9696	0.8000	0.9461	1.0000	0.9600	0.9988	0.8999	0.7181	0.8680	1.0000	1.0000	1.0000	Strengthen contraction rule with ALWAYS emphasis and more examples	KEEP
exp_003	2026-03-27T03:44:33	0.9539	0.9074	0.7600	0.8963	1.0000	0.9800	1.0000	0.8234	0.7313	1.0000	1.0000	1.0000	1.0000	Strengthen em dash ban with zero-tolerance emphasis and double-hyphen mention	DISCARD
exp_004	2026-03-27T03:53:04	0.9129	1.0000	0.8600	0.9118	0.9500	0.9800	0.9921	0.8463	0.7019	0.9670	0.9000	0.9000	0.9000	Add opener variety check to self-check section	DISCARD
exp_005	2026-03-27T03:58:18	0.9692	0.9673	0.9200	0.9857	0.9500	1.0000	0.9888	0.8172	0.7138	0.9670	1.0000	1.0000	1.0000	Add concrete em-dash before/after rewrite example to Examples section	KEEP
exp_006	2026-03-27T04:04:22	0.9612	1.0000	0.8600	0.9233	0.9500	1.0000	0.9948	0.8191	0.7209	0.8680	1.0000	1.0000	1.0000	Add bad/good example for repetitive vs varied sentence openers	DISCARD
exp_007	2026-03-27T04:10:49	0.9653	0.9718	0.9600	0.8516	1.0000	1.0000	1.0000	0.8303	0.7007	0.9670	1.0000	1.0000	1.0000	Replace shorter-sentences rule with explicit short/long mixing for rhythm variety	DISCARD
exp_008	2026-03-27T04:16:14	0.8512	0.9721	0.8400	0.9246	1.0000	1.0000	0.9909	0.8306	0.6963	0.9010	0.8000	0.7500	0.8000	Add Common Mistakes section with before/after rewrite showing varied openers	DISCARD
exp_009	2026-03-27T04:22:53	0.9552	1.0000	0.7800	0.8183	1.0000	1.0000	1.0000	0.8348	0.7041	0.9340	1.0000	1.0000	1.0000	Consolidate redundant rules, add explicit opener variety and sentence length variety instructions	DISCARD
exp_010	2026-03-27T04:31:19	0.9650	0.9663	0.8200	0.8785	1.0000	1.0000	1.0000	0.8718	0.7593	1.0000	1.0000	1.0000	1.0000	Add before/after example for the not-X-is-Y contrast pattern	DISCARD
exp_011	2026-03-27T04:37:07	0.9028	0.9673	0.9333	0.8852	0.9444	1.0000	1.0000	0.8449	0.7096	0.9633	0.8889	0.8611	0.8889	Expand self-check contraction list with 9 specific pairs to reinforce contraction rule	DISCARD
exp_012	2026-03-27T04:44:28	0.9522	1.0000	0.7600	0.8658	1.0000	1.0000	1.0000	0.8468	0.6573	0.8350	1.0000	1.0000	1.0000	Reorder Anti-AI section: tone/rhythm first, banned constructions second, banned words list last	DISCARD
exp_013	2026-03-27T04:50:32	0.9535	1.0000	0.7556	0.8803	0.9444	0.9778	1.0000	0.8629	0.7143	0.8900	1.0000	1.0000	1.0000	Add bad/good example pair showing stiff repetitive openers vs natural varied rhythm	DISCARD
exp_014	2026-03-27T04:56:52	0.9600	0.9725	0.8400	0.8618	1.0000	1.0000	1.0000	0.8413	0.6874	0.9670	1.0000	1.0000	1.0000	Remove redundant buzzword-padding rule to reduce cognitive load	DISCARD
exp_015	2026-03-27T05:04:15	0.9672	1.0000	0.8667	0.9754	1.0000	0.9778	1.0000	0.8196	0.6879	0.9267	1.0000	1.0000	1.0000	Add 'in every genre' to contraction rule with explicit note that formal tone does not mean uncontracted	DISCARD
exp_016	2026-03-27T05:10:14	0.9646	1.0000	0.9200	0.8851	1.0000	0.9800	1.0000	0.8142	0.6744	0.9670	1.0000	1.0000	1.0000	Add is-not and we-have to uncontracted examples list plus note about formal genres	DISCARD
exp_017	2026-03-27T05:15:47	0.9648	0.9734	0.8800	0.9355	1.0000	1.0000	1.0000	0.8477	0.6867	0.9010	1.0000	1.0000	1.0000	Add bad/good example pair for uncontracted vs contracted forms	DISCARD
exp_018	2026-03-27T05:21:52	0.9598	1.0000	0.8200	0.8940	1.0000	0.9800	1.0000	0.8013	0.6776	0.9670	1.0000	1.0000	1.0000	Add double-hyphen mention to em dash self-check item with replacement guidance	DISCARD
exp_019	2026-03-27T05:27:01	0.9587	1.0000	0.8600	0.8600	1.0000	1.0000	1.0000	0.8365	0.6820	0.8680	1.0000	1.0000	1.0000	Bold NEVER emphasis on em dash rule to match ALWAYS contraction pattern	DISCARD
exp_020	2026-03-27T05:33:00	0.9089	0.9691	0.8600	0.9929	0.9500	0.9800	0.9812	0.8293	0.6503	0.8680	0.9000	0.9000	0.9000	Expand varied phrasing rule with explicit opener variety guidance and sentence length mixing	DISCARD
